posicion,equipo,partidos,victorias,empates,derrotas,puntos,golesafavor,golesencontra,diferencia,hashtag,gana,empata,pierde,tweets
1,Barcelona,11,7,3,1,24,31,14,17,Barcelona,0.8333,0.1429,0.0769,1
2,Atletico Madrid,12,6,5,1,23,16,8,8,AtleticoMadrid,,,,6
3,Espanyol,11,6,3,2,21,15,8,7,Espanyol,0.2309,0.2778,0.5405,2
4,Sevilla,11,6,2,3,20,22,13,9,Sevilla,0.5405,0.2778,0.2309,16
5,Alaves,11,6,2,3,20,15,11,4,Alaves,0.5,0.303,0.25,0
6,Real Madrid,11,5,2,4,17,16,14,2,RealMadrid,0.6211,0.2309,0.2,0
7,Valladolid,12,4,5,3,17,9,9,0,Valladolid,,,,8
8,Levante,12,5,2,5,17,18,19,-1,Levante,,,,20
9,Girona,12,4,5,3,17,13,14,-1,Girona,,,,6
10,Real Sociedad,12,4,4,4,16,15,14,1,RealSociedad,,,,36
11,Getafe,12,4,4,4,16,11,10,1,Getafe,,,,15
12,Eibar,12,4,3,5,15,12,18,-6,Eibar,,,,14
13,Celta Vigo,11,3,5,3,14,20,16,4,CeltaVigo,,,,0
14,Valencia,12,2,8,2,14,8,9,-1,Valencia,,,,14
15,Real Betis,11,3,4,4,13,8,12,-4,RealBetis,0.0769,0.1429,0.8333,0
16,Villarreal,11,2,4,5,10,9,11,-2,Villarreal,0.4348,0.2941,0.3226,14
17,Athletic Bilbao,12,1,7,4,10,13,19,-6,AthleticBilbao,,,,6
18,Leganes,12,2,4,6,10,9,16,-7,Leganes,,,,5
19,Rayo Vallecano,11,1,3,7,6,12,23,-11,RayoVallecano,0.3226,0.2941,0.4348,6
20,Huesca,11,1,3,7,6,9,23,-14,Huesca,0.25,0.303,0.5,2
