posicion,equipo,partidos,victorias,empates,derrotas,puntos,golesafavor,golesencontra,diferencia,hashtag,gana,empata,pierde,tweets
1,Barcelona,11,7,3,1,24,31,14,17,Barcelona,1.20,7.00,13.00,12
2,Espanyol,11,6,3,2,21,15,8,7,Espanyol,4.33,3.60,1.85,4
3,Sevilla,11,6,2,3,20,22,13,9,Sevilla,1.85,3.60,4.33,12
4,Atletico Madrid,12,5,5,2,20,13,7,6,AtleticoMadrid,,,,12
5,Alaves,11,6,2,3,20,15,11,4,Alaves,1.85,3.40,4.75,1
6,Real Madrid,11,5,2,4,17,16,14,2,RealMadrid,1.61,4.33,5.00,0
7,Levante,12,5,2,5,17,18,19,-1,Levante,,,,7
8,Valladolid,12,4,5,3,17,9,9,0,Valladolid,,,,0
9,Real Sociedad,12,4,4,4,16,15,14,1,RealSociedad,,,,8
10,Girona,11,4,4,3,16,13,14,-1,Girona,2.10,3.25,3.75,5
11,Getafe,12,4,4,4,16,11,10,1,Getafe,,,,8
12,Eibar,12,4,3,5,15,12,18,-6,Eibar,,,,1
13,Celta Vigo,11,3,5,3,14,20,16,4,CeltaVigo,,,,0
14,Valencia,12,2,8,2,14,8,9,-1,Valencia,,,,3
15,Real Betis,11,3,4,4,13,8,12,-4,RealBetis,13.00,7.00,1.20,39
16,Villarreal,11,2,4,5,10,9,11,-2,Villarreal,2.30,3.40,3.10,4
17,Athletic Bilbao,12,2,7,3,10,12,16,-4,AthleticBilbao,,,,0
18,Leganes,11,2,3,6,9,9,16,-7,Leganes,3.75,3.25,2.10,55
19,Rayo Vallecano,11,1,3,7,6,12,23,-11,RayoVallecano,3.10,3.40,2.30,2
20,Huesca,11,1,3,7,6,9,23,-14,Huesca,4.75,3.40,1.85,0
